course_id,code,title,credits
SOC307,DSR,"Digital Social Research",4
SOC308/SOC514,GM,"Gender and Media",4
SOC309/509,ISI,"Image, Screen, Interface",4
SOC311/SOC501,AERM,"Advance Ethnographic Research Methods",4
SOC313/SOC503,SoI,"Sociology of India: Themes and Perspectives",4
SOC314/SOC512,TFM,"Technology and the Future of Work",4
SOC315/SOC511,INST,"Intersectionality Studies",4
SOC502,AST,"Advanced Sociological Theory",4
SOC504/SOC701,AO,"On the making of anthropological objects",4
SOC513,,"Enhancement Technologies and the Body: Beyond the Human Form",4
SOC702/505,APA,"State and Subject: Advanced topics in political anthropology",4
SOC719A,USG,"Urban Space and Gender",4
SSH101,CTRSS,"Critical Thinking and Readings in Social Science",4
SSH121,IPHI,"Introduction to Philosophy",4
SSH124,CT,"Critical Thinking",4
SSH201,RMSSD,"Research Methods in Social Science and Design",4
SSH211,TA,"Theatre Appreciation",4
SSH214,Lit,"Introduction To The Study Of Literature",4
SSH215,NN,"Nation and her Narratives",4
SSH216,IIM,"Introduction to Indian Mythology",4
SSH217,IPA,"Indian Poetry Through the Ages",4
SSH221,SPP,"Social and Political Philosophy",4
SSH222,TPEE,"Theory and Practice of Engineering Ethics",4
SSH223,PoK,"Perspectives of Knowledge",4
SSH224,CIES,"Computer, Information Ethics and Society",4
SSH225A,CGS,"Comprehensive Gender Sensitization",4
SSH240,PDE,"Politics in Digital Era",4
SSH261,DIPP,"Democracy in India: Principles and Practices",4
SSH300,TE,"Theories of Ethics",4
SSH311,AW,"Advanced Writing",4
SSH321/521,AE,"Applied Ethics",4
SSH323,NMP,"New Media and Politics",4
SSH324,PoM,"Philosophy of Mind",4
SSH325/SSH525,EI,"Ethics in AI",4
SSH326,JALang,"Japanese Language",4
SSH327A/SSH527A,CMSMR,"Concepts and Methods in Social Movement Research",4
SSH341/SSH541,GAI,"Governing AI: History, Theory, Policy (New)",4
SSH361,CPDE,"Comparative Politics in Digital Era",4
SSH362/SSH562,USPP,"Urban Space and Political Power",4
SSH3PT,PT,"Philosophy of Technology",4
SSH526/SSH726,RHPS,"Reading Hegel's Phenomenology of Spiri",4
SSH5743,,"Key Concepts in Political Theory",4
SSH700,KPCC,"Knowledge Production, Concepts and Context",4
SSH711,D&S,"Data and Society",4
SSH721,,"Advanced Readings in Moral and Political Philosophy",4
SSH728,,"Kant's Critique of Pure Reason",4
